StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
1,7.5,1,1,1,65,4.4,No,No,61,79,NotPlaced
2,8.9,0,3,2,90,4.0,Yes,Yes,78,82,Placed
3,7.3,1,2,2,82,4.8,Yes,No,79,80,NotPlaced
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,Placed
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,Placed
6,7.0,0,2,2,71,4.2,Yes,No,55,66,NotPlaced
7,7.7,1,1,1,76,4.0,No,No,62,65,NotPlaced
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced
9,6.5,1,1,0,84,3.9,No,Yes,75,71,NotPlaced
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,Placed
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,Placed
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,Placed
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,Placed
14,7.7,1,1,1,74,4.6,No,Yes,63,73,NotPlaced
15,7.5,1,1,1,66,4.1,No,No,61,66,NotPlaced
16,7.4,0,2,1,78,4.4,No,No,63,66,NotPlaced
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,Placed
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,Placed
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,Placed
20,7.4,1,2,0,70,4.4,No,Yes,58,63,NotPlaced
21,7.6,2,1,0,84,4.4,No,Yes,77,75,Placed
22,7.4,1,2,1,72,3.5,No,Yes,82,69,Placed
23,7.7,0,1,0,77,3.4,No,Yes,55,72,Placed
24,7.4,1,1,0,60,3.8,No,No,55,71,NotPlaced
25,7.4,1,2,1,90,4.3,No,Yes,56,69,NotPlaced
26,6.7,1,1,1,70,4.0,No,No,68,57,NotPlaced
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,NotPlaced
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,NotPlaced
29,7.5,1,2,1,84,4.4,No,No,66,73,NotPlaced
30,7.0,0,1,1,63,3.9,No,Yes,60,61,NotPlaced
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,Placed
32,7.4,1,2,1,76,4.7,No,Yes,66,69,NotPlaced
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,Placed
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,Placed
35,6.9,0,1,0,70,3.9,No,Yes,79,68,Placed
36,7.8,1,1,1,67,4.3,No,No,65,73,NotPlaced
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,Placed
38,8.2,1,2,2,77,4.2,No,Yes,72,72,Placed
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,Placed
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,Placed
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,Placed
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,Placed
43,6.7,0,1,1,72,4.4,No,No,55,60,NotPlaced
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,Placed
45,7.4,1,3,0,86,4.8,No,Yes,70,73,NotPlaced
46,6.7,1,1,2,73,4.5,No,No,55,66,Placed
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced
48,7.0,1,1,0,62,4.3,No,Yes,59,67,NotPlaced
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,Placed
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced
